key,de-DE,R,en-US,R,da-DK,R,fi-FI,R,sv-SE,R,fr-FR,R,it-IT,R,es-ES,R
export.transport.webdav.option.packer,Komprimierung,FALSE,Compression,FALSE,Compression,FALSE,Pakkaus,FALSE,Kompression,FALSE,Compression,FALSE,,FALSE,,FALSE
export.transport.webdav.option.password,Passwort,FALSE,Password,FALSE,Password,FALSE,Salasana,FALSE,Lösenord,FALSE,Mot de passe,FALSE,,FALSE,,FALSE
export.transport.webdav.option.server,Server,FALSE,Server,FALSE,Server,FALSE,Palvelin,FALSE,Server,FALSE,Serveur,FALSE,,FALSE,,FALSE
export.transport.webdav.type|icon,fa-caret-square-o-right,FALSE,fa-caret-square-o-right,FALSE,fa-caret-square-o-right,FALSE,fa-caret-square-o-right,FALSE,fa-caret-square-o-right,FALSE,fa-caret-square-o-right,FALSE,,FALSE,,FALSE
export.transport.webdav.type|text,WebDAV,FALSE,WebDAV,FALSE,WebDAV,FALSE,WebDAV,FALSE,WebDAV,FALSE,WebDAV,FALSE,,FALSE,,FALSE
export.manager.list.transport.node.type.easydb-export-transport-ftp-plugin:transport_ftp,FTP,FALSE,FTP,FALSE,,TRUE,,TRUE,,TRUE,FTP,FALSE,,TRUE,,FALSE
server.config.name.system.rclone,Einstellungen für rclone,FALSE,rclone Settings,FALSE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
server.config.name.system.rclone|hint,Plugin benutzt `rclone` für das Kopieren von Dateien,FALSE,Plugin uses `rclone` to copy files,FALSE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
server.config.parameter.system.rclone.rclone_log_debug.label,Log Level,FALSE,Log Level,FALSE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
server.config.parameter.system.rclone.rclone_log_debug.label|hint,Achtung: bei großer Anzahl von Dateien kann das Transport Log sehr groß werden!,FALSE,Attention: for a large number of files the transport log can get very big!,FALSE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
server.config.parameter.system.rclone.rclone_log_debug.checkbox,"Log Level ""DEBUG"" aktivieren",FALSE,"Enable log level ""DEBUG""",FALSE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
